geneID,transcript_id,class,condition,isoform_source,event_type,transcript_biotype,n_exons,strongest_rna_log2fc,mrna_len,protein_len,has_cds,short_protein,internal_stop,qc_pass,qc_flag
AT1G20810,AT1G20810.1,1,HS,canonical_fallback,,protein_coding,6.0,1.309910332039211,1033,232,True,False,False,True,pass
AT5G64370,AT5G64370.1,1,HS,canonical_fallback,,protein_coding,6.0,1.308563366397404,1551,408,True,False,False,True,pass
AT1G16080,AT1G16080.1,1,HS,canonical_fallback,,protein_coding,5.0,1.3078785833552389,1340,313,True,False,False,True,pass
AT5G19940,AT5G19940.1,1,HS,rmats_RI_overlap,RI,protein_coding,4.0,1.3072361074324823,1085,239,True,False,False,True,pass
AT2G30050,AT2G30050.1,1,HS,canonical_fallback,,protein_coding,2.0,1.3068100244519592,1360,302,True,False,False,True,pass
AT1G15710,AT1G15710.1,1,HS,canonical_fallback,,protein_coding,1.0,1.3066720049292302,1781,358,True,False,False,True,pass
AT3G50970,AT3G50970.1,1,both,canonical_fallback,,protein_coding,1.0,1.3065281245433311,969,193,True,False,False,True,pass
AT5G64680,AT5G64680.3,1,NS,rmats_A3SS_overlap_3candidates,A3SS,protein_coding,5.0,1.3049774870213169,857,211,True,False,False,True,pass
AT1G80030,AT1G80030.2,1,HS,canonical_fallback,,protein_coding,12.0,1.304665283182414,2159,500,True,False,False,True,pass
AT2G20340,AT2G20340.1,1,NS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,13.0,1.3043991848015413,1909,490,True,False,False,True,pass
AT3G59540,AT3G59540.1,1,HS,canonical_fallback,,protein_coding,3.0,1.3030992563979145,595,69,True,False,False,True,pass
AT1G77120,AT1G77120.1,1,HS,canonical_fallback,,protein_coding,7.0,1.303072302306565,1595,379,True,False,False,True,pass
AT5G64460,AT5G64460.8,1,HS,rmats_SE_overlap_4candidates,SE,protein_coding,11.0,1.3029179405223508,1155,282,True,False,False,True,pass
AT5G64460,AT5G64460.8,1,HS,rmats_SE_overlap_4candidates,SE,protein_coding,11.0,1.3029179405223508,1155,282,True,False,False,True,pass
AT5G64460,AT5G64460.8,1,HS,rmats_SE_overlap_4candidates,SE,protein_coding,11.0,1.3029179405223508,1155,282,True,False,False,True,pass
AT5G64460,AT5G64460.8,1,HS,rmats_SE_overlap_4candidates,SE,protein_coding,11.0,1.3029179405223508,1155,282,True,False,False,True,pass
AT4G10610,AT4G10610.1,1,both,rmats_SE_overlap_2candidates,SE,protein_coding,9.0,1.3021778485011504,1824,336,True,False,False,True,pass
AT5G05730,AT5G05730.2,1,NS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,8.0,1.301728150320614,2139,624,True,False,False,True,pass
AT1G60430,AT1G60430.2,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,6.0,1.301307114516681,1139,174,True,False,False,True,pass
AT1G33050,AT1G33050.4,1,HS,rmats_A3SS_overlap_6candidates,A3SS,protein_coding,7.0,1.300502172304537,2692,693,True,False,False,True,pass
AT1G78010,AT1G78010.1,1,HS,canonical_fallback,,protein_coding,10.0,1.3002498105307083,1993,560,True,False,False,True,pass
AT5G09250,AT5G09250.2,1,NS,rmats_RI_overlap_2candidates,RI,protein_coding,4.0,1.300235107339579,1034,85,True,False,False,True,pass
AT5G48220,AT5G48220.1,1,HS,rmats_A5SS_overlap_4candidates,A5SS,protein_coding,9.0,1.2997622729531713,1493,379,True,False,False,True,pass
AT3G61140,AT3G61140.1,1,HS,canonical_fallback,,protein_coding,7.0,1.2994742655248974,1976,441,True,False,False,True,pass
AT2G31610,AT2G31610.1,1,HS,canonical_fallback,,protein_coding,5.0,1.2982531766389651,1209,250,True,False,False,True,pass
AT1G13280,AT1G13280.1,1,HS,canonical_fallback,,protein_coding,2.0,1.2971927823447016,1343,254,True,False,False,True,pass
AT3G14930,AT3G14930.2,1,HS,rmats_RI_overlap,RI,protein_coding,6.0,1.2965468135518747,2040,418,True,False,False,True,pass
AT3G59400,AT3G59400.1,1,both,canonical_fallback,,protein_coding,1.0,1.2958600453567743,1296,265,True,False,False,True,pass
AT5G52820,AT5G52820.1,1,both,canonical_fallback,,protein_coding,12.0,1.2958231716524558,1800,473,True,False,False,True,pass
AT1G63000,AT1G63000.1,1,HS,canonical_fallback,,protein_coding,2.0,1.2958085296409083,1466,301,True,False,False,True,pass
AT2G38410,AT2G38410.1,1,HS,canonical_fallback,,protein_coding,9.0,1.2940148035133057,2641,671,True,False,False,True,pass
AT2G04039,AT2G04039.2,1,HS,rmats_RI_overlap,RI,protein_coding,4.0,1.2930154500464146,995,165,True,False,False,True,pass
AT3G42170,AT3G42170.1,1,HS,rmats_RI_overlap,RI,protein_coding,2.0,1.2906724640018854,2461,696,True,False,False,True,pass
AT5G01920,AT5G01920.1,1,HS,canonical_fallback,,protein_coding,5.0,1.29040216555834,1895,495,True,False,False,True,pass
AT2G35530,AT2G35530.1,1,HS,canonical_fallback,,protein_coding,13.0,1.289808207298753,1873,409,True,False,False,True,pass
AT5G24210,AT5G24210.2,1,NS,rmats_SE_overlap_2candidates,SE,protein_coding,4.0,1.288462976112858,1865,350,True,False,False,True,pass
AT3G63080,AT3G63080.1,1,HS,canonical_fallback,,protein_coding,6.0,1.2876406761745198,1143,173,True,False,False,True,pass
AT5G12250,AT5G12250.1,1,HS,canonical_fallback,,protein_coding,4.0,1.2875945825193278,1966,449,True,False,False,True,pass
AT2G47710,AT2G47710.1,1,NS,rmats_A3SS_overlap,A3SS,protein_coding,4.0,1.2874127193676062,980,162,True,False,False,True,pass
AT3G01290,AT3G01290.1,1,HS,canonical_fallback,,protein_coding,4.0,1.2861535873321683,1663,285,True,False,False,True,pass
AT2G36230,AT2G36230.1,1,NS,canonical_fallback,,protein_coding,7.0,1.284554997180215,1148,304,True,False,False,True,pass
AT5G51550,AT5G51550.1,1,both,canonical_fallback,,protein_coding,1.0,1.2842825546549523,1533,337,True,False,False,True,pass
AT1G78060,AT1G78060.1,1,HS,canonical_fallback,,protein_coding,5.0,1.284077740959208,2499,767,True,False,False,True,pass
AT1G72010,AT1G72010.1,1,HS,canonical_fallback,,protein_coding,1.0,1.2831893149156546,1718,375,True,False,False,True,pass
AT4G28730,AT4G28730.2,1,NS,rmats_RI_overlap,RI,protein_coding,4.0,1.2818121777125853,963,142,True,False,False,True,pass
AT3G54230,AT3G54230.2,1,HS,rmats_A5SS_overlap_5candidates,A5SS,protein_coding,17.0,1.280925651778753,3615,1008,True,False,False,True,pass
AT3G54230,AT3G54230.2,1,HS,rmats_A5SS_overlap_5candidates,A5SS,protein_coding,17.0,1.280925651778753,3615,1008,True,False,False,True,pass
AT3G54230,AT3G54230.2,1,HS,rmats_A5SS_overlap_5candidates,A5SS,protein_coding,17.0,1.280925651778753,3615,1008,True,False,False,True,pass
AT3G54230,AT3G54230.2,1,HS,rmats_A5SS_overlap_5candidates,A5SS,protein_coding,17.0,1.280925651778753,3615,1008,True,False,False,True,pass
AT3G25760,AT3G25760.1,1,NS,canonical_fallback,,protein_coding,2.0,1.2800138771768657,1191,254,True,False,False,True,pass
AT5G27770,AT5G27770.1,1,HS,canonical_fallback,,protein_coding,3.0,1.2796575054181278,788,124,True,False,False,True,pass
AT1G51680,AT1G51680.1,1,HS,canonical_fallback,,protein_coding,4.0,1.278876821705551,2220,561,True,False,False,True,pass
AT4G35310,AT4G35310.1,1,HS,canonical_fallback,,protein_coding,8.0,1.2785610070286662,2645,556,True,False,False,True,pass
AT1G19370,AT1G19370.1,1,HS,canonical_fallback,,protein_coding,1.0,1.2784285834621023,2332,605,True,False,False,True,pass
AT5G19420,AT5G19420.2,1,NS,rmats_SE_overlap,SE,protein_coding,11.0,1.2782593651008405,3988,1139,True,False,False,True,pass
AT2G30410,AT2G30410.1,1,both,canonical_fallback,,protein_coding,5.0,1.2781908923518723,897,113,True,False,False,True,pass
AT1G27900,AT1G27900.3,1,HS,rmats_RI_overlap,RI,protein_coding,15.0,1.27804870040469,2839,540,True,False,False,True,pass
AT5G52580,AT5G52580.2,1,HS,rmats_A5SS_overlap_3candidates,A5SS,protein_coding,16.0,1.2769512525240792,2401,690,True,False,False,True,pass
AT2G45060,AT2G45060.1,1,HS,canonical_fallback,,protein_coding,9.0,1.2768451434726902,1387,272,True,False,False,True,pass
AT4G28706,AT4G28706.4,1,HS,rmats_A3SS_overlap_4candidates,A3SS,protein_coding,14.0,1.2765352884109715,1598,440,True,False,False,True,pass
AT5G27450,AT5G27450.2,1,HS,canonical_fallback,,protein_coding,5.0,1.2764931017235777,2010,378,True,False,False,True,pass
AT5G47630,AT5G47630.2,1,HS,rmats_RI_overlap,RI,protein_coding,2.0,1.276129170813857,858,131,True,False,False,True,pass
AT5G24850,AT5G24850.1,1,NS,rmats_A3SS_overlap,A3SS,protein_coding,12.0,1.2726264260705051,1917,569,True,False,False,True,pass
AT3G07050,AT3G07050.1,1,NS,canonical_fallback,,protein_coding,9.0,1.2720115018757123,2078,582,True,False,False,True,pass
AT1G71790,AT1G71790.1,1,both,canonical_fallback,,protein_coding,8.0,1.271054197049861,1117,256,True,False,False,True,pass
AT4G34050,AT4G34050.3,1,HS,canonical_fallback,,protein_coding,4.0,1.2708657720724423,1550,286,True,False,False,True,pass
AT1G26550,AT1G26550.1,1,HS,canonical_fallback,,protein_coding,5.0,1.269839379702968,842,142,True,False,False,True,pass
AT3G01670,AT3G01670.2,1,both,canonical_fallback,,protein_coding,7.0,1.269633221594683,2776,846,True,False,False,True,pass
AT5G11450,AT5G11450.2,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,11.0,1.2685776203919397,1267,315,True,False,False,True,pass
AT2G32810,AT2G32810.1,1,HS,canonical_fallback,,protein_coding,19.0,1.2649647595314708,3043,887,True,False,False,True,pass
AT1G35420,AT1G35420.2,1,HS,canonical_fallback,,protein_coding,3.0,1.264034184007762,1251,315,True,False,False,True,pass
AT5G59890,AT5G59890.1,1,HS,canonical_fallback,,protein_coding,3.0,1.2639013477334249,933,139,True,False,False,True,pass
AT5G23860,AT5G23860.1,1,HS,canonical_fallback,,protein_coding,3.0,1.2634130012668938,1865,449,True,False,False,True,pass
AT3G48720,AT3G48720.1,1,HS,canonical_fallback,,protein_coding,2.0,1.2612094384979842,1855,430,True,False,False,True,pass
AT1G67870,AT1G67870.1,1,HS,canonical_fallback,,protein_coding,2.0,1.2557702814525786,1319,279,True,False,False,True,pass
AT2G37470,AT2G37470.1,1,both,canonical_fallback,,protein_coding,1.0,1.2547851064224045,1002,138,True,False,False,True,pass
AT1G52340,AT1G52340.1,1,both,canonical_fallback,,protein_coding,2.0,1.254463130355914,1184,285,True,False,False,True,pass
AT5G43850,AT5G43850.1,1,HS,rmats_A5SS_overlap,A5SS,protein_coding,5.0,1.254289429328417,1037,187,True,False,False,True,pass
AT3G08780,AT3G08780.2,1,HS,rmats_RI_overlap,RI,protein_coding,1.0,1.2531944154357717,1498,312,True,False,False,True,pass
AT4G15880,AT4G15880.1,1,NS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,9.0,1.2510875113566042,2051,489,True,False,False,True,pass
AT5G14930,AT5G14930.2,1,HS,canonical_fallback,,protein_coding,3.0,1.250448219162963,2082,537,True,False,False,True,pass
AT3G63170,AT3G63170.1,1,HS,canonical_fallback,,protein_coding,4.0,1.2501694831255916,1029,279,True,False,False,True,pass
AT4G17050,AT4G17050.1,1,HS,canonical_fallback,,protein_coding,13.0,1.2501508969604789,1235,298,True,False,False,True,pass
AT5G09650,AT5G09650.1,1,HS,canonical_fallback,,protein_coding,6.0,1.2473811778288124,1181,300,True,False,False,True,pass
AT3G50930,AT3G50930.1,1,HS,canonical_fallback,,protein_coding,1.0,1.2466241658777948,2656,576,True,False,False,True,pass
AT2G25670,AT2G25670.2,1,NS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,3.0,1.246155177367155,1904,318,True,False,False,True,pass
AT5G22510,AT5G22510.1,1,HS,canonical_fallback,,protein_coding,7.0,1.2459085819938558,2760,617,True,False,False,True,pass
AT3G11945,AT3G11945.2,1,NS,canonical_fallback,,protein_coding,11.0,1.245085145434489,1458,393,True,False,False,True,pass
AT4G13850,AT4G13850.1,1,HS,canonical_fallback,,protein_coding,5.0,1.2449250068958857,1196,158,True,False,False,True,pass
AT2G44650,AT2G44650.1,1,NS,canonical_fallback,,protein_coding,7.0,1.2448066331275085,1171,139,True,False,False,True,pass
AT4G34980,AT4G34980.1,1,NS,canonical_fallback,,protein_coding,1.0,1.2435291658632175,2865,764,True,False,False,True,pass
AT3G53560,AT3G53560.2,1,NS,canonical_fallback,,protein_coding,1.0,1.2420617064015878,1552,388,True,False,False,True,pass
AT5G22040,AT5G22040.2,1,HS,canonical_fallback,,protein_coding,3.0,1.2417118841372743,1879,284,True,False,False,True,pass
AT5G08200,AT5G08200.1,1,HS,canonical_fallback,,protein_coding,3.0,1.2401493530836185,2055,409,True,False,False,True,pass
AT4G18030,AT4G18030.1,1,HS,canonical_fallback,,protein_coding,7.0,1.2396857358159834,2708,621,True,False,False,True,pass
AT5G41210,AT5G41210.1,1,HS,canonical_fallback,,protein_coding,7.0,1.2396044568802378,1188,245,True,False,False,True,pass
AT4G03150,AT4G03150.1,1,HS,canonical_fallback,,protein_coding,2.0,1.2383362526793098,729,185,True,False,False,True,pass
AT2G28290,AT2G28290.5,1,HS,rmats_A3SS_overlap_6candidates,A3SS,protein_coding,33.0,1.2370962957059486,10861,3575,True,False,False,True,pass
AT4G00570,AT4G00570.1,1,HS,canonical_fallback,,protein_coding,19.0,1.2367786488174846,2340,607,True,False,False,True,pass
AT4G30160,AT4G30160.2,1,HS,rmats_A3SS_overlap_4candidates,A3SS,protein_coding,24.0,1.236617751842044,3462,983,True,False,False,True,pass
AT3G15810,AT3G15810.1,1,HS,canonical_fallback,,protein_coding,2.0,1.2358577369326649,1098,220,True,False,False,True,pass
AT5G39410,AT5G39410.1,1,HS,canonical_fallback,,protein_coding,3.0,1.2358220423479405,2064,454,True,False,False,True,pass
AT1G68680,AT1G68680.1,1,both,canonical_fallback,,protein_coding,2.0,1.2350496611845083,1069,75,True,False,False,True,pass
AT4G11860,AT4G11860.1,1,HS,canonical_fallback,,protein_coding,13.0,1.2345721681414323,2539,682,True,False,False,True,pass
AT3G08010,AT3G08010.1,1,HS,canonical_fallback,,protein_coding,4.0,1.2340888452946204,1280,374,True,False,False,True,pass
AT3G46100,AT3G46100.1,1,NS,canonical_fallback,,protein_coding,10.0,1.2328601783927575,1816,486,True,False,False,True,pass
AT3G16950,AT3G16950.2,1,HS,canonical_fallback,,protein_coding,16.0,1.2312020931374783,2137,623,True,False,False,True,pass
AT4G21470,AT4G21470.1,1,HS,canonical_fallback,,protein_coding,10.0,1.230491800476746,1445,379,True,False,False,True,pass
AT4G29720,AT4G29720.1,1,NS,canonical_fallback,,protein_coding,1.0,1.2290401850603474,2066,533,True,False,False,True,pass
AT3G26420,AT3G26420.1,1,HS,rmats_A3SS_overlap,A3SS,protein_coding,8.0,1.2251459577817465,3033,245,True,False,False,True,pass
AT2G29700,AT2G29700.1,1,HS,canonical_fallback,,protein_coding,1.0,1.2244248208470416,1066,145,True,False,False,True,pass
AT5G67380,AT5G67380.1,1,HS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,10.0,1.2242785864889385,2116,409,True,False,False,True,pass
AT2G23360,AT2G23360.1,1,NS,canonical_fallback,,protein_coding,6.0,1.2209654120456452,3257,898,True,False,False,True,pass
AT5G13050,AT5G13050.1,1,NS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,8.0,1.22036716276216,1271,277,True,False,False,True,pass
AT5G14250,AT5G14250.2,1,NS,rmats_RI_overlap,RI,protein_coding,10.0,1.2201867303018017,1664,356,True,False,False,True,pass
AT4G16720,AT4G16720.1,1,HS,canonical_fallback,,protein_coding,4.0,1.218859355165834,999,204,True,False,False,True,pass
AT4G28440,AT4G28440.1,1,both,canonical_fallback,,protein_coding,2.0,1.2183253635426423,1036,153,True,False,False,True,pass
AT2G41900,AT2G41900.1,1,both,canonical_fallback,,protein_coding,2.0,1.2180275802149756,3021,716,True,False,False,True,pass
AT5G65780,AT5G65780.2,1,NS,canonical_fallback,,protein_coding,10.0,1.217980423901814,3579,1018,True,False,False,True,pass
AT5G54440,AT5G54440.1,1,HS,rmats_A5SS_overlap_3candidates,A5SS,protein_coding,21.0,1.217106577225496,4226,1259,True,False,False,True,pass
AT5G64570,AT5G64570.2,1,HS,rmats_RI_overlap,RI,protein_coding,4.0,1.2170023425413965,3328,626,True,False,False,True,pass
AT4G30530,AT4G30530.1,1,HS,canonical_fallback,,protein_coding,3.0,1.2168245098391857,1215,250,True,False,False,True,pass
AT2G26080,AT2G26080.1,1,HS,canonical_fallback,,protein_coding,15.0,1.216590739967421,3967,1044,True,False,False,True,pass
AT3G62410,AT3G62410.1,1,HS,canonical_fallback,,protein_coding,1.0,1.2161685568375822,637,131,True,False,False,True,pass
AT4G37200,AT4G37200.1,1,HS,canonical_fallback,,protein_coding,4.0,1.215602202075268,1135,261,True,False,False,True,pass
AT2G26110,AT2G26110.1,1,both,canonical_fallback,,protein_coding,1.0,1.2134966297896654,1624,309,True,False,False,True,pass
AT5G38060,AT5G38060.1,1,NS,canonical_fallback,,protein_coding,2.0,1.2114636271934132,694,134,True,False,False,True,pass
AT1G74640,AT1G74640.1,1,NS,canonical_fallback,,protein_coding,4.0,1.211254087193524,1604,370,True,False,False,True,pass
AT5G19950,AT5G19950.1,1,HS,rmats_RI_overlap_2candidates,RI,protein_coding,6.0,1.2108097980794792,1789,443,True,False,False,True,pass
AT5G03350,AT5G03350.1,1,NS,canonical_fallback,,protein_coding,1.0,1.2101271336739252,1061,274,True,False,False,True,pass
AT1G68100,AT1G68100.1,1,HS,rmats_A5SS_overlap_2candidates,A5SS,protein_coding,11.0,1.208833107397134,1853,469,True,False,False,True,pass
AT3G23640,AT3G23640.3,1,HS,rmats_A3SS_overlap_3candidates,A3SS,protein_coding,23.0,1.2086247763960378,3729,1060,True,False,False,True,pass
AT4G20720,AT4G20720.2,1,HS,rmats_RI_overlap,RI,protein_coding,2.0,1.2085942115213992,2938,619,True,False,False,True,pass
AT5G04850,AT5G04850.2,1,HS,rmats_RI_overlap,RI,protein_coding,6.0,1.2085778717596618,1133,272,True,False,False,True,pass
AT1G52220,AT1G52220.1,1,HS,rmats_SE_overlap_3candidates,SE,protein_coding,5.0,1.2072375667459685,921,156,True,False,False,True,pass
AT1G20070,AT1G20070.1,1,HS,canonical_fallback,,protein_coding,1.0,1.2063811239679878,1139,193,True,False,False,True,pass
AT4G13670,AT4G13670.2,1,HS,rmats_SE_overlap_2candidates,SE,protein_coding,6.0,1.2057910472083384,1740,278,True,False,False,True,pass
AT5G52650,AT5G52650.1,1,HS,canonical_fallback,,protein_coding,5.0,1.205268809167038,996,179,True,False,False,True,pass
AT4G02080,AT4G02080.1,1,HS,canonical_fallback,,protein_coding,3.0,1.205253002132739,901,193,True,False,False,True,pass
AT5G53580,AT5G53580.1,1,HS,rmats_A3SS_overlap,A3SS,protein_coding,7.0,1.2039835396181788,1470,365,True,False,False,True,pass
AT3G22270,AT3G22270.1,1,HS,canonical_fallback,,protein_coding,5.0,1.203896542676101,3639,782,True,False,False,True,pass
AT1G78580,AT1G78580.1,1,HS,rmats_SE_overlap_2candidates,SE,protein_coding,19.0,1.2036221550652657,5000,942,True,False,False,True,pass
AT5G20570,AT5G20570.2,1,HS,rmats_A5SS_overlap_3candidates,A5SS,protein_coding,6.0,1.2033807601116493,764,142,True,False,False,True,pass
AT3G52500,AT3G52500.1,1,HS,canonical_fallback,,protein_coding,1.0,1.2021949373186804,2192,469,True,False,False,True,pass
AT3G16470,AT3G16470.1,1,HS,rmats_SE_overlap_3candidates,SE,protein_coding,5.0,1.201947253610897,1836,451,True,False,False,True,pass
AT4G15820,AT4G15820.1,1,HS,canonical_fallback,,protein_coding,5.0,1.2018775306009248,1549,460,True,False,False,True,pass
AT3G07690,AT3G07690.1,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,5.0,1.201227967689584,1780,466,True,False,False,True,pass
AT2G46910,AT2G46910.1,1,HS,rmats_A3SS_overlap,A3SS,protein_coding,9.0,1.1984730845403535,1055,284,True,False,False,True,pass
AT5G52380,AT5G52380.1,1,NS,canonical_fallback,,protein_coding,5.0,1.1970025979936252,1065,268,True,False,False,True,pass
AT5G47650,AT5G47650.2,1,HS,rmats_RI_overlap,RI,protein_coding,8.0,1.1936361394572514,1348,325,True,False,False,True,pass
AT1G09795,AT1G09795.1,1,HS,canonical_fallback,,protein_coding,11.0,1.1936181418279446,1516,413,True,False,False,True,pass
AT2G33255,AT2G33255.1,1,HS,canonical_fallback,,protein_coding,5.0,1.192886618972356,1020,245,True,False,False,True,pass
AT3G53120,AT3G53120.1,1,both,canonical_fallback,,protein_coding,7.0,1.1925803273190123,900,217,True,False,False,True,pass
AT5G27560,AT5G27560.3,1,HS,rmats_RI_overlap_3candidates,RI,protein_coding,10.0,1.191923595131709,1827,341,True,False,False,True,pass
AT1G60730,AT1G60730.3,1,HS,rmats_SE_overlap_2candidates,SE,protein_coding,6.0,1.1910075874395198,1296,365,True,False,False,True,pass
AT1G72930,AT1G72930.1,1,NS,canonical_fallback,,protein_coding,2.0,1.19049666281543,1084,176,True,False,False,True,pass
AT2G45470,AT2G45470.1,1,HS,canonical_fallback,,protein_coding,1.0,1.1873827907212515,1846,420,True,False,False,True,pass
AT1G73350,AT1G73350.5,1,NS,rmats_RI_overlap_2candidates,RI,protein_coding,5.0,1.187101116903146,1181,213,True,False,False,True,pass
AT3G04770,AT3G04770.1,1,NS,rmats_RI_overlap,RI,protein_coding,4.0,1.1870692769714364,1211,332,True,False,False,True,pass
AT1G18190,AT1G18190.1,1,NS,canonical_fallback,,protein_coding,10.0,1.18548346685001,2295,668,True,False,False,True,pass
AT5G26360,AT5G26360.1,1,HS,canonical_fallback,,protein_coding,13.0,1.1841392598043765,2313,555,True,False,False,True,pass
AT1G13180,AT1G13180.1,1,HS,canonical_fallback,,protein_coding,9.0,1.183444908344791,2019,427,True,False,False,True,pass
AT4G33500,AT4G33500.1,1,HS,canonical_fallback,,protein_coding,9.0,1.1829105013472956,2526,724,True,False,False,True,pass
AT5G16050,AT5G16050.2,1,NS,canonical_fallback,,protein_coding,5.0,1.182206799200337,1409,268,True,False,False,True,pass
AT1G13090,AT1G13090.1,1,HS,rmats_RI_overlap,RI,protein_coding,1.0,1.181925310707675,1732,298,True,False,False,True,pass
AT2G36480,AT2G36480.1,1,HS,rmats_RI_overlap,RI,protein_coding,7.0,1.181643940594798,3413,963,True,False,False,True,pass
AT1G03130,AT1G03130.1,1,HS,canonical_fallback,,protein_coding,1.0,1.1813625015824396,956,204,True,False,False,True,pass
AT5G54300,AT5G54300.1,1,HS,canonical_fallback,,protein_coding,2.0,1.1803775662849822,1383,326,True,False,False,True,pass
AT2G20750,AT2G20750.2,1,both,rmats_RI_overlap,RI,protein_coding,3.0,1.1795907961692225,1526,220,True,False,False,True,pass
AT1G75190,AT1G75190.1,1,NS,canonical_fallback,,protein_coding,1.0,1.1791940300254278,1148,131,True,False,False,True,pass
AT1G30600,AT1G30600.1,1,NS,canonical_fallback,,protein_coding,10.0,1.178937042836924,3069,832,True,False,False,True,pass
AT5G16810,AT5G16810.1,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,12.0,1.1762426561559554,1528,418,True,False,False,True,pass
AT1G54580,AT1G54580.1,1,HS,canonical_fallback,,protein_coding,4.0,1.1747747366086203,1013,136,True,False,False,True,pass
AT2G27040,AT2G27040.1,1,HS,canonical_fallback,,protein_coding,23.0,1.174375734347032,3236,924,True,False,False,True,pass
AT5G08590,AT5G08590.2,1,HS,rmats_RI_overlap,RI,protein_coding,8.0,1.1738405484690586,1907,277,True,False,False,True,pass
AT5G08130,AT5G08130.8,1,HS,rmats_A5SS_overlap_8candidates,A5SS,protein_coding,12.0,1.1735958777876878,2738,533,True,False,False,True,pass
AT5G62690,AT5G62690.1,1,HS,canonical_fallback,,protein_coding,3.0,1.1732877262154076,1927,450,True,False,False,True,pass
AT5G23400,AT5G23400.1,1,NS,canonical_fallback,,protein_coding,1.0,1.1726174991085585,2363,589,True,False,False,True,pass
AT4G09650,AT4G09650.1,1,HS,canonical_fallback,,protein_coding,1.0,1.171728324292444,1151,234,True,False,False,True,pass
AT2G22475,AT2G22475.1,1,HS,canonical_fallback,,protein_coding,4.0,1.1712301687903095,1555,299,True,False,False,True,pass
AT1G70580,AT1G70580.1,1,both,rmats_A5SS_overlap_3candidates,A5SS,protein_coding,13.0,1.1711832942199216,2157,481,True,False,False,True,pass
AT3G46540,AT3G46540.1,1,NS,canonical_fallback,,protein_coding,4.0,1.1708468323808574,1473,307,True,False,False,True,pass
AT4G00860,AT4G00860.1,1,NS,canonical_fallback,,protein_coding,3.0,1.1695787950025556,700,80,True,False,False,True,pass
AT4G36020,AT4G36020.1,1,NS,canonical_fallback,,protein_coding,2.0,1.1688252240516808,1660,299,True,False,False,True,pass
AT4G16566,AT4G16566.1,1,HS,rmats_A3SS_overlap_2candidates,A3SS,protein_coding,7.0,1.168764287231874,1392,173,True,False,False,True,pass
AT4G27070,AT4G27070.1,1,HS,canonical_fallback,,protein_coding,5.0,1.1687116657343417,2002,475,True,False,False,True,pass
AT2G34070,AT2G34070.1,1,HS,canonical_fallback,,protein_coding,5.0,1.168162204243974,1752,385,True,False,False,True,pass
AT1G36370,AT1G36370.1,1,HS,canonical_fallback,,protein_coding,4.0,1.167606691644949,2158,598,True,False,False,True,pass
AT5G02610,AT5G02610.2,1,HS,rmats_SE_overlap,SE,protein_coding,5.0,1.1655810493252403,827,146,True,False,False,True,pass
AT1G63460,AT1G63460.1,1,NS,canonical_fallback,,protein_coding,6.0,1.165118921921675,817,167,True,False,False,True,pass
AT3G58600,AT3G58600.1,1,HS,canonical_fallback,,protein_coding,7.0,1.1648481743960024,1433,302,True,False,False,True,pass
AT4G39800,AT4G39800.1,1,HS,canonical_fallback,,protein_coding,9.0,1.163770282858551,2095,511,True,False,False,True,pass
AT3G51420,AT3G51420.1,1,HS,canonical_fallback,,protein_coding,4.0,1.1636866505733945,2064,370,True,False,False,True,pass
AT3G15610,AT3G15610.1,1,both,canonical_fallback,,protein_coding,7.0,1.1632787422053592,1700,341,True,False,False,True,pass
AT4G34412,AT4G34412.1,1,HS,canonical_fallback,,protein_coding,6.0,1.1617574309561784,776,172,True,False,False,True,pass
AT5G15960,AT5G15960.1,1,HS,canonical_fallback,,protein_coding,3.0,1.161734748514653,829,66,True,False,False,True,pass
AT5G15802,AT5G15802.1,1,NS,canonical_fallback,,protein_coding,2.0,1.160751715680569,659,99,True,False,False,True,pass
AT1G31970,AT1G31970.1,1,NS,rmats_A5SS_overlap,A5SS,protein_coding,13.0,1.1605822625678055,1955,537,True,False,False,True,pass
AT2G06210,AT2G06210.1,1,HS,rmats_A3SS_overlap,A3SS,nontranslating_CDS,24.0,1.1595324463502903,3579,0,False,False,False,False,no_CDS
AT1G68185,AT1G68185.2,1,NS,canonical_fallback,,protein_coding,7.0,1.1582368365326017,1081,261,True,False,False,True,pass
AT2G40430,AT2G40430.2,1,HS,canonical_fallback,,protein_coding,14.0,1.1575199511517738,1794,449,True,False,False,True,pass
AT5G44070,AT5G44070.1,1,HS,canonical_fallback,,protein_coding,9.0,1.156619592174234,1815,485,True,False,False,True,pass
AT1G33520,AT1G33520.1,1,HS,canonical_fallback,,protein_coding,1.0,1.156339724293218,2072,462,True,False,False,True,pass
AT3G14010,AT3G14010.5,1,HS,rmats_A5SS_overlap_5candidates,A5SS,protein_coding,15.0,1.1562951174497968,3009,603,True,False,False,True,pass
